name,price,url,category,metric
White Clear Flakes,₹60/ kg,https://www.indiamart.com/durga-traders-asansol/,pet-bottle-flake,kg
"Green PET Strapping Flakes, For Industrial, Packaging Size: 25Kg",₹44/ kg,https://www.indiamart.com/proddetail/pet-strapping-flakes-21463595791.html,pet-bottle-flake,kg
Unwashed PET Flakes - Green Colour,₹50/ kg,https://www.indiamart.com/proddetail/unwashed-pet-flakes-green-colour-25168965255.html,pet-bottle-flake,kg
"Flake Bizz PET Fine Flakes, Usage: For Making Polyester Fiber, PET Strap, Polyester Resin",₹25/ kg,https://www.indiamart.com/proddetail/pet-fine-flakes-18256403930.html,pet-bottle-flake,kg
"amit Pet Flakes Hot Washed, Pack Size: 25",₹55/ kg,https://www.indiamart.com/proddetail/pet-flakes-hot-washed-19898379997.html,pet-bottle-flake,kg
Pet Bottle Flakes,₹42/ kg,https://www.indiamart.com/sri-lakshmi-narasimha-polymers/,pet-bottle-flake,kg
PET Flake Chips,₹65/ kg,https://www.indiamart.com/muthurayaenterprises/,pet-bottle-flake,kg
Pet Flakes,"₹35,000/ tonne",https://www.indiamart.com/proddetail/pet-flakes-21722907612.html,pet-bottle-flake,tonne
UNWashed Pet Bottle Flakes,₹39/ kg,https://www.indiamart.com/proddetail/pet-bottle-flaks-21292260873.html,pet-bottle-flake,kg
Natural Unwashed 22mm PET Bottle Flake,₹59/ kg,https://www.indiamart.com/proddetail/22mm-pet-bottle-flake-24818616012.html,pet-bottle-flake,kg
Hot Washed PET Flakes,₹49/ kg,https://www.indiamart.com/proddetail/hot-washed-pet-flakes-23782673662.html,pet-bottle-flake,kg
Natural White Unwashed PET Bottle Flakes,₹45/ kg,https://www.indiamart.com/proddetail/white-unwashed-pet-bottle-flakes-2851811709055.html,pet-bottle-flake,kg
"White PET FLAKES HOT WASHED, For Industrial, Packaging Type: PP Bag",₹65/ kg,https://www.indiamart.com/proddetail/pet-flakes-hot-washed-2849490441948.html,pet-bottle-flake,kg
White Pet Bottle Flakes,₹57/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-2851303200573.html,pet-bottle-flake,kg
"White Pet Bottle Flakes(unwashed), Packaging Type: Bag, Packaging Size: 25kgs",₹33/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-unwashed-21714188288.html,pet-bottle-flake,kg
Green And White PET Flakes For Sale,₹58/ kg,https://www.indiamart.com/proddetail/green-and-white-pet-flakes-for-sale-19898455555.html,pet-bottle-flake,kg
Pet Bottle flakes unwashed,₹40/ kg,https://www.indiamart.com/recyclerz/,pet-bottle-flake,kg
PET Bottle Flakes Green Unwashed,₹45/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-green-unwashed-2850675269412.html,pet-bottle-flake,kg
Un Washed Pet Bottle Flakes,₹45/ kg,https://www.indiamart.com/proddetail/un-washed-pet-bottle-flakes-21116172691.html,pet-bottle-flake,kg
Pet Bottle Flex,₹45/ kg,https://www.indiamart.com/raj-traders-saharanpur/,pet-bottle-flake,kg
Milky White Grinded LD Bottel Scrap,₹52/ kg,https://www.indiamart.com/proddetail/ld-bottel-scrap-21658418373.html,pet-bottle-flake,kg
"White PET Bottle Flakes, Packaging Type: Plastic Bag, Packaging Size: 30 To 50 kg",₹15/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-23720090530.html,pet-bottle-flake,kg
Mix Pet Flakes,₹34/ kg,https://www.indiamart.com/ganga-constructions/,pet-bottle-flake,kg
Natural Grinded Crushed Pet Bottle Scrap,₹25/ kg,https://www.indiamart.com/proddetail/crushed-pet-bottle-scrap-13200924188.html,pet-bottle-flake,kg
"Blue PET Flakes, For Bottle Making, Packaging Size: Jumbo Bag 625kg",₹75/ kg,https://www.indiamart.com/proddetail/pet-flakes-25603376973.html,pet-bottle-flake,kg
Plastic Bottle Flex,₹35/ kg,https://www.indiamart.com/rakesh-pani/,pet-bottle-flake,kg
"Green PET Bottle Flake, Packaging Size: 50 Kg",₹52/ kg,https://www.indiamart.com/proddetail/green-pet-bottle-flake-22597170333.html,pet-bottle-flake,kg
PET Bottle Flakes,₹40/ kg,https://www.indiamart.com/prusty-supplier/,pet-bottle-flake,kg
Natural Hot Washed Mixed Color Pet Flakes,₹60/ kg,https://www.indiamart.com/proddetail/mixed-color-pet-flakes-25401968497.html,pet-bottle-flake,kg
Pet Flakes,₹38/ kg,https://www.indiamart.com/shiva-shakti-enterprizes/,pet-bottle-flake,kg
Natural Cold Washed Pet Bottle Flakes,₹51/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-2851942829555.html,pet-bottle-flake,kg
Natural Pet Flakes,₹53/ kg,https://www.indiamart.com/proddetail/natural-pet-flakes-26071315912.html,pet-bottle-flake,kg
Natural PP Flakes,₹85/ kg,https://www.indiamart.com/proddetail/natural-pp-flakes-27047981433.html,pet-bottle-flake,kg
Pet Bottle Flakes,"₹55,440/ tonne",https://www.indiamart.com/proddetail/pet-bottle-flakes-4398493388.html,pet-bottle-flake,tonne
Pet Bottle Flakes,₹47/ kg,https://www.indiamart.com/shrienterprises-68816803/,pet-bottle-flake,kg
Natural Hot Washed Pet Bottle Flakes,₹50/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-24207440291.html,pet-bottle-flake,kg
Pet Flakes,₹45/ kg,https://www.indiamart.com/company/183565132/,pet-bottle-flake,kg
Pet Bottle Flakes,₹45/ tonne,https://www.indiamart.com/hy-polymer-plastic/,pet-bottle-flake,tonne
"White Pet Bottle Flake, Packaging Size: 25kg",₹40/ kg,https://www.indiamart.com/kukton-plastic/,pet-bottle-flake,kg
Clear Pet Flakes,"₹1,000/ tonne",https://www.indiamart.com/thachardecors/,pet-bottle-flake,tonne
"Moulding PET Flakes, Packaging Size: 30 Kg, Packaging Type: Bag",₹45/ kg,https://www.indiamart.com/proddetail/moulding-pet-flakes-21392964091.html,pet-bottle-flake,kg
Natural HDPE Clean Ldpe Film Scrap Plastic Scrap,"₹1,500/ tonne",https://www.indiamart.com/proddetail/clean-ldpe-film-scrap-plastic-scrap-21790190712.html,pet-bottle-flake,tonne
Pet Strap Flakes Grinded,"₹43,500/ tonne",https://www.indiamart.com/proddetail/pet-strap-flakes-grinded-13440892848.html,pet-bottle-flake,tonne
Cold Washed Pet Flakes,"₹30,000/ tonne",https://www.indiamart.com/kkr-imports-exports/,pet-bottle-flake,tonne
Unwashed Pet Bottle Flake,₹40/ kg,https://www.indiamart.com/arunachalam-trds/,pet-bottle-flake,kg
PET Flakes,"₹1,050/ tonne",,pet-bottle-flake,tonne
Pet Bottel Cap Washed Flakes,₹60/ kg,https://www.indiamart.com/ssenterprises-47589815/,pet-bottle-flake,kg
Pet Bottle Flakes,"₹45,000/ tonne",https://www.indiamart.com/krishna-enterpri-chandigarh/,pet-bottle-flake,tonne
Milky White Pet Bottle Flakes,₹32/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-24157458973.html,pet-bottle-flake,kg
"White PET Crused Plastic Bottle flakz, Use For Storage: Water bottls and coldrink",₹48/ kg,https://www.indiamart.com/jcb-led-lights/,pet-bottle-flake,kg
Pet flakes,₹65/ kg,https://www.indiamart.com/proddetail/pet-flakes-2851214285191.html,pet-bottle-flake,kg
Pet Bottle Flakes,₹65/ kg,https://www.indiamart.com/pet-bottles-scrap-chandrapur/,pet-bottle-flake,kg
Natural Plastics Pet Bottle Flakes,₹55/ kg,https://www.indiamart.com/proddetail/plastics-pet-bottle-flakes-21325273130.html,pet-bottle-flake,kg
Pet Flakes,₹50/ kg,https://www.indiamart.com/clouds-pet-flakes-traders-cuddalore/,pet-bottle-flake,kg
Pet Flakes,₹55/ kg,https://www.indiamart.com/k-v-polymers/,pet-bottle-flake,kg
Natural Hot Washed PET Bottle Flake,₹62/ kg,https://www.indiamart.com/proddetail/pet-bottle-flake-2852052297391.html,pet-bottle-flake,kg
Pet Wood Flake,₹180/ tonne,https://www.indiamart.com/proddetail/pet-wood-flake-13640359488.html,pet-bottle-flake,tonne
Waste Pet Bottles Flakes,₹45/ kg,https://www.indiamart.com/proddetail/waste-pet-bottles-flakes-10539323091.html,pet-bottle-flake,kg
Pet Bottle Flake,₹45/ kg,https://www.indiamart.com/proddetail/pet-bottle-flake-16072038655.html,pet-bottle-flake,kg
"Green PET Bottle Flakes, Packaging Type: PP Bag",₹48/ kg,https://www.indiamart.com/proddetail/green-pet-bottle-flakes-22618658812.html,pet-bottle-flake,kg
Cold Washed Pet Bottle Flakes,₹40/ kg,https://www.indiamart.com/company/51122964/,pet-bottle-flake,kg
Transparent Crushed Pet Bottle Scrap,₹45/ kg,https://www.indiamart.com/proddetail/pet-bottle-scrap-23731267891.html,pet-bottle-flake,kg
Unwashed Grey PET Bottle Flakes,₹60/ kg,https://www.indiamart.com/proddetail/grey-pet-bottle-flakes-2852080557455.html,pet-bottle-flake,kg
Pet Bottle Flakes,₹65/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-25606881462.html,pet-bottle-flake,kg
Pp Injection Molding,₹125/ tonne,https://www.indiamart.com/sunilplastic-46587597/,pet-bottle-flake,tonne
Plastic scrap pet fines,₹40/ kg,https://www.indiamart.com/shivtraders-46646493/,pet-bottle-flake,kg
"PET Fine Flakes, For Bottle Making",₹25/ kg,https://www.indiamart.com/proddetail/pet-fine-flakes-18932338362.html,pet-bottle-flake,kg
"Pet Flakes, For Fiber",₹51/ kg,https://www.indiamart.com/proddetail/pet-flakes-19728991991.html,pet-bottle-flake,kg
Hot Water Washed and Dried Plastic Bottle Flakes,₹43/ kg,https://www.indiamart.com/ved-communication-dehradun/,pet-bottle-flake,kg
"GGI Plastic Flake Recycled Pet Bottle Flakes, Pack Type: PP Bags, Pack Size: 25 KG, 50 KG",₹60/ kg,https://www.indiamart.com/proddetail/recycled-pet-bottle-flakes-20696101812.html,pet-bottle-flake,kg
Milky White Cold Washed PET Bottle Flake,₹51/ kg,https://www.indiamart.com/proddetail/pet-bottle-flake-2851727791755.html,pet-bottle-flake,kg
Green Unwashed PET Bottle Flakes,₹45/ kg,https://www.indiamart.com/proddetail/green-unwashed-pet-bottle-flakes-2851802177312.html,pet-bottle-flake,kg
Milky White Clear Pet Flakes,₹53/ kg,https://www.indiamart.com/proddetail/clear-pet-flakes-24461026655.html,pet-bottle-flake,kg
Hot Wash Pet Scrap,₹50/ kg,https://www.indiamart.com/new-apna-mobile/,pet-bottle-flake,kg
White Pet bottle cutting flakes,₹50/ kg,https://www.indiamart.com/ali-traders-faridabad/,pet-bottle-flake,kg
Pet Bottle Scrap Natural,₹40/ kg,https://www.indiamart.com/apex-trader-abohar/,pet-bottle-flake,kg
"White PET Plastic Flakes, Packaging Type: Bag, Packaging Size: 1 Tone",₹55/ kg,https://www.indiamart.com/proddetail/pet-plastic-flakes-20541410612.html,pet-bottle-flake,kg
Pet Bottle flakes,"₹55,000/ tonne",https://www.indiamart.com/proddetail/pet-bottle-flakes-20234901755.html,pet-bottle-flake,tonne
Pet Bottle Flakes,₹65/ kg,https://www.indiamart.com/s-n-polymers-gurugram/,pet-bottle-flake,kg
Pet Bottle Flakes,₹65/ kg,https://www.indiamart.com/jrn-enterprises-gurgaon/,pet-bottle-flake,kg
Clear Pet Flakes,₹45/ kg,https://www.indiamart.com/gentlehopere-sources/,pet-bottle-flake,kg
"Washed Pet Flakes, Pack Size: 50 Kg",₹53/ kg,https://www.indiamart.com/proddetail/washed-pet-flakes-18719572748.html,pet-bottle-flake,kg
Pet Bottle Scrap Crushing Material,₹43/ kg,https://www.indiamart.com/vidhya-entp/,pet-bottle-flake,kg
"Unwashed Pet Bottle Flacks, For Plastic Items",₹40/ kg,https://www.indiamart.com/proddetail/unwashed-pet-bottle-flacks-21024608912.html,pet-bottle-flake,kg
Pet Bottle Flakes Transperent,₹37/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-transperent-23953247797.html,pet-bottle-flake,kg
Pet Bottle Flakes,₹50/ kg,https://www.indiamart.com/vikashvi-retail/,pet-bottle-flake,kg
White Pet Flakes,₹44/ kg,https://www.indiamart.com/sakha-pet-flakes-manufacturer/,pet-bottle-flake,kg
"Mix Pet Flakes, Pack Size: 50kg",₹40/ kg,https://www.indiamart.com/proddetail/mix-pet-flakes-20782577548.html,pet-bottle-flake,kg
Pet Bottle Flakes,₹35/ kg,https://www.indiamart.com/plastic-recycling-chilakalurupet/,pet-bottle-flake,kg
Green Grinded Pet Bottle Scrap,₹48/ kg,https://www.indiamart.com/proddetail/pet-bottle-scrap-2851673227997.html,pet-bottle-flake,kg
Pet Green Plastic Flakes,₹50/ kg,https://www.indiamart.com/someswara-traders/,pet-bottle-flake,kg
"Natural Wankai Bottle Grade Pet Chips, Packaging Type: Bags",₹90/ kg,https://www.indiamart.com/proddetail/wankai-bottle-grade-pet-chips-22759857273.html,pet-bottle-flake,kg
"Pet Bottle Flakes, Pack Size: 25, For Polyster Industry",₹40/ kg,https://www.indiamart.com/pet-bottle-flakes-guntur/,pet-bottle-flake,kg
Pet Bottle flakes Scrap,₹40/ kg,https://www.indiamart.com/gg-wholesale-trader/,pet-bottle-flake,kg
Pet Bottle Flakes Full White,₹45/ kg,https://www.indiamart.com/pioneer-feed/,pet-bottle-flake,kg
Pet Flakes (Plant Waste) (Pet Sheet),₹38/ kg,https://www.indiamart.com/proddetail/pet-sheet-grinding-flakes-22631302091.html,pet-bottle-flake,kg
Natural Pet Bottle Flakes,₹30/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-25702183562.html,pet-bottle-flake,kg
Green PET Flake,₹45/ kg,https://www.indiamart.com/greenpolymers/,pet-bottle-flake,kg
"PET Flakes Green And Clear, For Industrial, Packaging Type: Bag",₹52/ kg,https://www.indiamart.com/srimanikantaenterprises-42990524/,pet-bottle-flake,kg
Natural Hot Washed Pet Bottle Flakes,₹55/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-24284208791.html,pet-bottle-flake,kg
Pet Bottle Crushed Flakes,₹45/ tonne,https://www.indiamart.com/hag-technologies/,pet-bottle-flake,tonne
Green Pet Bottle Flakes,"₹50,000/ tonne",https://www.indiamart.com/siri-collections-cyberabad/,pet-bottle-flake,tonne
Unwashed Pet Flakes,₹38/ kg,https://www.indiamart.com/away-plast-enterprises/,pet-bottle-flake,kg
Pet Bottle Flakes,₹50/ kg,https://www.indiamart.com/company/107056514/,pet-bottle-flake,kg
"B2B r-PET Chips Granules Dana Clear Food and Non Grade, For Preform, Sheet",₹95/ kg,https://www.indiamart.com/proddetail/b2b-r-pet-chips-granules-dana-clear-food-and-non-grade-21502488212.html,pet-bottle-flake,kg
Natural Unwashed PET Bottle Flakes,₹78/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-27550973312.html,pet-bottle-flake,kg
"Polyester Flakes For Industrial, Packaging Type: Plastic Bag",₹17/ kg,https://www.indiamart.com/proddetail/polyester-flakes-23221009112.html,pet-bottle-flake,kg
Hot Wash Pet Bottle Flakes,₹52/ kg,https://www.indiamart.com/proddetail/hot-wash-pet-bottle-flakes-8553791933.html,pet-bottle-flake,kg
Natural Unwashed Pet Bottle Flake,₹50/ kg,https://www.indiamart.com/proddetail/unwashed-pet-bottle-flake-2849748123691.html,pet-bottle-flake,kg
PET PELLETS,₹79/ kg,https://www.indiamart.com/glopet-iota/,pet-bottle-flake,kg
"PET Flake, Packaging Type: PP Bag",₹54/ kg,https://www.indiamart.com/proddetail/pet-flake-23109326348.html,pet-bottle-flake,kg
Unwashed PET Bottle Flake,₹50/ kg,https://www.indiamart.com/proddetail/unwashed-pet-bottle-flake-2850227480873.html,pet-bottle-flake,kg
"White Pet Bottle Flakes, Packaging Type: PP Bag, Packaging Size: 450-500 kg",₹70/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-22691936648.html,pet-bottle-flake,kg
Natural Grinded Pet Bottle Scrap,₹36/ kg,https://www.indiamart.com/proddetail/pet-bottle-scrap-2851079645055.html,pet-bottle-flake,kg
Grey Loosely Packed Ped Bottle Flakes Scrap,₹45/ kg,https://www.indiamart.com/proddetail/ped-bottle-flakes-scrap-2852080556912.html,pet-bottle-flake,kg
Milky White Crushed Pet Bottle Scrap,₹57/ kg,https://www.indiamart.com/proddetail/pet-bottle-scrap-19770033891.html,pet-bottle-flake,kg
Hot Washed Pet Flakes,₹55/ kg,https://www.indiamart.com/virika-plasticos/,pet-bottle-flake,kg
N9ne Pet flakes,₹50/ kg,https://www.indiamart.com/proddetail/pet-flakes-20458086691.html,pet-bottle-flake,kg
Natural Hot Washed PET Bottle Flake,"₹16,000/ tonne",https://www.indiamart.com/proddetail/pet-bottle-flake-23510599191.html,pet-bottle-flake,tonne
Bottle Flakes,₹62/ kg,https://www.indiamart.com/company/72513653/,pet-bottle-flake,kg
"White Pet Bottle Flakes, Packaging Type: PP Bag, Packaging Size: 50 kg",₹75/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-23243244073.html,pet-bottle-flake,kg
Natural Hot Washed Clear Pet Flakes,₹55/ kg,https://www.indiamart.com/proddetail/clear-pet-flakes-25395626673.html,pet-bottle-flake,kg
"White Recycled PET Flakes, For Bottle Making",₹104/ kg,https://www.indiamart.com/proddetail/recycled-pet-flakes-26093059397.html,pet-bottle-flake,kg
Pet Bottle Flakes,₹45/ kg,https://www.indiamart.com/nidhienterprise-20535543/,pet-bottle-flake,kg
Natural Pet Flakes Scrap,₹70/ kg,https://www.indiamart.com/proddetail/pet-flakes-scrap-26891614891.html,pet-bottle-flake,kg
Pet Flakes,₹50/ kg,https://www.indiamart.com/company/188750327/,pet-bottle-flake,kg
Plastic Flakes,₹40/ kg,https://www.indiamart.com/khichi-enterprises-jodhpur/,pet-bottle-flake,kg
Pet Bottle Flakes,₹49/ kg,https://www.indiamart.com/rathore-pet-bottle-flex/,pet-bottle-flake,kg
Pet Bottle Flakes,₹65/ kg,https://www.indiamart.com/sameer-associates-jabalpur/,pet-bottle-flake,kg
Pet Flakes,₹48/ kg,https://www.indiamart.com/life-recycle/,pet-bottle-flake,kg
Pet Bottle Flakes,₹60/ kg,https://www.indiamart.com/eagleengineers-jamnagar/,pet-bottle-flake,kg
Unwashed Green PET Bottle Flakes,₹56/ kg,https://www.indiamart.com/proddetail/green-pet-bottle-flakes-2850424150955.html,pet-bottle-flake,kg
Unwashed Green PET Bottle Flakes,₹58/ kg,https://www.indiamart.com/proddetail/green-pet-bottle-flakes-2850982594748.html,pet-bottle-flake,kg
Pet Bottle Flakes,₹45/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-22986595412.html,pet-bottle-flake,kg
PET flakes without wash,₹45/ kg,https://www.indiamart.com/rcb-trading-company/,pet-bottle-flake,kg
Pet Flakes,₹45/ tonne,https://www.indiamart.com/i-shree-momai-flex-pet-bottle-and-hdp/,pet-bottle-flake,tonne
Hot Washed Pet Flakes Grade 1 Out Of Water Coldrink Bottles,₹57/ kg,https://www.indiamart.com/proddetail/hot-washed-pet-flakes-grade-1-out-of-water-coldrink-bottles-18982701430.html,pet-bottle-flake,kg
PET Bottle Flake,₹55/ kg,https://www.indiamart.com/mirza-industries-bhusawal/,pet-bottle-flake,kg
Natural Pet Bottle Flakes,₹86/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-26107125288.html,pet-bottle-flake,kg
"Potassium Humate super shiny flakes, 25KG AND 20KG",₹40/ kg,https://www.indiamart.com/proddetail/potassium-humate-super-shiny-flakes-9456047673.html,pet-bottle-flake,kg
PET Flakes,₹50/ kg,https://www.indiamart.com/om-plastic-recycling/,pet-bottle-flake,kg
White Unwashed Pet Flakes,₹36/ kg,https://www.indiamart.com/samarth-poly-plast/,pet-bottle-flake,kg
Pet Bottle Flakes,₹50/ kg,https://www.indiamart.com/maha-kaal-enterprises/,pet-bottle-flake,kg
Pet Flakes,₹75/ kg,https://www.indiamart.com/proddetail/pet-flakes-22535597833.html,pet-bottle-flake,kg
Green PET Flakes Scrap,₹70/ kg,https://www.indiamart.com/proddetail/green-pet-flakes-scrap-13367078733.html,pet-bottle-flake,kg
Pet bottle flake unwashed with cap and without sticker,₹45/ kg,https://www.indiamart.com/ayan-scrap-veraval/,pet-bottle-flake,kg
Pet Bottle Flakes,₹70/ kg,https://www.indiamart.com/indiyan-palstik/,pet-bottle-flake,kg
"Brown Pet Flakes, for Industrial, Packaging Type: HDPE Bag",₹40/ kg,https://www.indiamart.com/proddetail/pet-flakes-21687590048.html,pet-bottle-flake,kg
Plastic Bottle Flakes,₹60/ kg,https://www.indiamart.com/proddetail/plastic-bottle-flakes-19325769612.html,pet-bottle-flake,kg
"Blue PET DRY FLAKES, Packaging Type: Plastic Bag, Packaging Size: 25 Kg",₹38/ kg,https://www.indiamart.com/proddetail/pet-dry-flakes-22399463288.html,pet-bottle-flake,kg
Natural pp flakes,₹82/ kg,https://www.indiamart.com/eloquent-enterprises/,pet-bottle-flake,kg
Pet Bottles Flakes,₹40/ kg,https://www.indiamart.com/proddetail/pet-bottles-flakes-18807772912.html,pet-bottle-flake,kg
"White Pet Bottle Flakes, Packaging Type: Plastic Bag, Packaging Size: 1Kg",₹45/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-23641799712.html,pet-bottle-flake,kg
Pet Flake,₹57/ kg,,pet-bottle-flake,kg
PET Flakes,₹40/ kg,https://www.indiamart.com/proddetail/pet-flakes-22509279312.html,pet-bottle-flake,kg
Clear Pet Flakes,₹60/ kg,https://www.indiamart.com/plastic-recycling-kanpur/,pet-bottle-flake,kg
Green Pet Bottle Flakes,₹54/ kg,https://www.indiamart.com/ms-renew-to-reuse-enterprises/,pet-bottle-flake,kg
Cold Washed Mix PET Bottle Flakes,₹40/ kg,https://www.indiamart.com/proddetail/cold-washed-mix-pet-bottle-flakes-22502086330.html,pet-bottle-flake,kg
Natural Hot Washed Pc Water Bottle Flake,"₹74,000/ tonne",https://www.indiamart.com/proddetail/pc-water-bottle-flake-2850582322512.html,pet-bottle-flake,tonne
Pet Flakes For Sale,"₹5,000/ tonne",https://www.indiamart.com/proddetail/pet-flakes-for-sale-2849769943312.html,pet-bottle-flake,tonne
Pet Bottle Flakes,₹41/ kg,https://www.indiamart.com/pet-bottle-flakes/,pet-bottle-flake,kg
mixed color ldpe plastic flakes,₹50/ kg,https://www.indiamart.com/krishna-laghu-udyog/,pet-bottle-flake,kg
Pet Flakes,₹43/ kg,,pet-bottle-flake,kg
PET Regrind - ( White Multicolor),₹35/ kg,https://www.indiamart.com/proddetail/pet-regrind-white-multicolor-22580702155.html,pet-bottle-flake,kg
crushed bottle,"₹1,000/ kg",https://www.indiamart.com/sudarshan-industries-latur/,pet-bottle-flake,kg
Unwashed PET Flakes,₹45/ kg,,pet-bottle-flake,kg
Green PET Flakes,₹38/ kg,https://www.indiamart.com/sakha-pet-flakes-manufacturer/,pet-bottle-flake,kg
Cold Washed Green PET Bottle Flake,₹60/ kg,https://www.indiamart.com/proddetail/green-pet-bottle-flake-2851358460033.html,pet-bottle-flake,kg
White Hot Washed Recycled PET Bottle Flakes,₹160/ kg,https://www.indiamart.com/proddetail/recycled-pet-bottle-flakes-2851566332091.html,pet-bottle-flake,kg
Light Blue Cold Washed Polycarbonate Bottle Flakes,₹112/ kg,https://www.indiamart.com/proddetail/polycarbonate-bottle-flakes-26099724891.html,pet-bottle-flake,kg
"White Pet Scrap Natural Grinding Plant Waste(20 Ltr Jar), Packaging Type: Bag, Packaging Size: 20 Kg",₹63/ kg,https://www.indiamart.com/proddetail/pet-scrap-natural-grinding-plant-waste-20-ltr-jar-10043397233.html,pet-bottle-flake,kg
Hot Wash Pet flex,₹53/ kg,https://www.indiamart.com/adishakti-international/,pet-bottle-flake,kg
"White PET Flakes, For Bottle Making, Packaging Type: Plastic Bag",₹65/ kg,https://www.indiamart.com/proddetail/white-pet-flakes-22390996962.html,pet-bottle-flake,kg
